Number,Event_Timestamp,Duration,Class,Location,Description,Tag
38488860,30:49.0,1:07:46,Error,FMS-DIV.PS2-6.TO.PS1,Air Pressure Fault,[MCP05]FMS_DIV_PS02_06_TO_PS01
38486323,13:07.0,4:25:28,Error,PS4 Loop,No Demand,[MCP06]FMS_PS04_Loop_Curr_PPM_Demand
38479980,51:45.0,7:46:50,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
38444529,17:58.0,52:20:37,Error,SO1-JAM10.PE1,Jammed,[MCP20]SO01_JAM10_PE1.Ctrl.Out_FaultPE
38420346,56:21.0,80:42:14,Error,SO1-FIO3,I/O Module Fault,[MCP20]SO01_FIO3_Mod_OK
38400848,40:40.0,177:57:55,Error,S1-5-1.SOL1,I/O Module Fault,[MCP20]S01_05_1_SOL1_Mod_OK
38390750,15:27.0,208:23:08,Error,S1-16-1.SOL1,I/O Module Fault,[MCP20]S01_16_1_SOL1_Mod_OK
38327615,35:03.0,383:03:32,Error,FL1-3CH.PE2,Jammed,[MCP08]FL01_03CH_PE2.Ctrl.Out_FaultPE
38327625,35:03.0,383:03:32,Error,FL2-3CH.PE2,Jammed,[MCP08]FL02_03CH_PE2.Ctrl.Out_FaultPE
38327660,35:03.0,383:03:32,Error,FL5-3CH.PE2,Jammed,[MCP08]FL05_03CH_PE2.Ctrl.Out_FaultPE
38232365,17:59.0,509:20:36,Error,FMS-DIV.PS1-6.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_06_TO_PS02
38232341,17:59.0,509:20:36,Error,RS2-14CH.RIP1,I/O Module Fault,[MCP06]RS02_14CH.Mod_OK
38232643,17:59.0,509:20:36,Error,RS2-34CH.RIP1,I/O Module Fault,[MCP06]RS02_34CH.Mod_OK
38232527,17:59.0,509:20:36,Error,RS2-54CH.RIP1,I/O Module Fault,[MCP06]RS02_54CH.Mod_OK
38233255,17:59.0,509:20:36,Error,RS2-74CH.RIP1,I/O Module Fault,[MCP06]RS02_74CH.Mod_OK
38233672,17:59.0,509:20:36,Error,RS4-14CH.RIP1,I/O Module Fault,[MCP06]RS04_14CH.Mod_OK
38229042,17:58.0,509:20:37,Error,RS2-94CH.RIP1,I/O Module Fault,[MCP06]RS02_94CH.Mod_OK
38229878,17:58.0,509:20:37,Error,RS4-34CH.RIP1,I/O Module Fault,[MCP06]RS04_34CH.Mod_OK
38227918,17:58.0,509:20:37,Error,RS4-54CH.RIP1,I/O Module Fault,[MCP06]RS04_54CH.Mod_OK
38228338,17:58.0,509:20:37,Error,RS4-74CH.RIP1,I/O Module Fault,[MCP06]RS04_74CH.Mod_OK
38228234,17:58.0,509:20:37,Error,RO1-3CH.PE.Jam,Jammed,[MCP09]RO01_03CH_PE_Jam.Ctrl.Out_FaultPE
