First Timestamp,Last Timestamp,Count,Duration,Class,Location,Description,Tag
2022-04-28 07:56:46.0,2022-04-28 13:36:24.0,71,00:23:55,Error,CH-21116.FIO1,I/O Module Fault,[MCP03]Spiral[104].Mod_OK
2022-04-28 07:56:44.0,2022-04-28 13:36:24.0,62,00:24:36,Error,CH-21216.FIO1,I/O Module Fault,[MCP03]Spiral[114].Mod_OK
2022-04-28 07:56:44.0,2022-04-28 13:36:33.0,61,00:24:29,Error,CH-21316.FIO1,I/O Module Fault,[MCP03]Spiral[124].Mod_OK
2022-04-28 07:56:44.0,2022-04-28 13:36:27.0,58,00:24:03,Error,CH-21016.FIO1,I/O Module Fault,[MCP03]Spiral[94].Mod_OK
2022-04-28 06:51:51.0,2022-04-28 14:06:56.0,18,01:18:38,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
2022-04-28 06:51:51.0,2022-04-28 14:06:54.0,16,02:00:22,Error,PS1 Loop,No Demand,[MCP05]FMS_PS01_Loop_Curr_PPM_Demand
2022-04-28 06:51:51.0,2022-04-28 14:06:54.0,8,00:18:16,Error,RE1-11,Anti-Gridlock Prevention Mode,[MCP05]RE01_11.Color.Output.5
2022-04-28 08:24:47.0,2022-04-28 14:38:10.0,6,02:41:07,Error,FMS-DIV.PS2-6.TO.PS1,Air Pressure Fault,[MCP05]FMS_DIV_PS02_06_TO_PS01
2022-04-28 06:51:03.0,2022-04-28 12:16:00.0,5,03:38:19,Error,RE4-10,Anti-Gridlock Prevention Mode,[MCP06]RE04_10.Color.Output.5
2022-04-28 09:43:11.0,2022-04-28 14:10:06.0,5,01:16:58,Error,AS1-6CH.Jam_PE,Jammed,[MCP05]AS01_06CH.Jam_PE.Ctrl.Out_FaultPE
2022-04-28 09:43:23.0,2022-04-28 14:12:49.0,5,02:10:17,Error,AS1-7CH.Jam_PE,Jammed,[MCP05]AS01_07CH.Jam_PE.Ctrl.Out_FaultPE
