CartonIDS,CartonNum,Gap,Length,Barcode,Timestamp,Recirc
CartonID,1,7.301,14.0805,SD0007GOOD_001_v,2022-05-13T21:41:36.834Z,41
CartonID,2,5.7365,11.9945,SD0008GOOD_001_v,2022-05-13T21:41:37.008Z,41
CartonID,3,11.9945,18.774,SD0001GOOD_001_v,2022-05-13T21:41:37.150Z,41
CartonID,4,6.258,19.817,SD0003GOOD_001_v,2022-05-13T21:41:37.393Z,41
CartonID,5,17.731,15.1235,SD0004GOOD_001_v,2022-05-13T21:41:37.596Z,41
CartonID,6,23.4675,18.774,SD0003GOOD_001_v,2022-05-13T21:41:37.856Z,41
CartonID,7,10.43,19.817,SD0004GOOD_001_v,2022-05-13T21:41:38.180Z,41
CartonID,8,32.333,18.2525,SD0010GOOD_001_v,2022-05-13T21:41:38.411Z,41
CartonID,9,16.1665,18.774,SD0009GOOD_001_v,2022-05-13T21:41:38.800Z,41
CartonID,10,7.301,15.645,SD0006GOOD_001_v,2022-05-13T21:41:39.076Z,41
CartonID,11,20.3385,15.645,SD0001GOOD_001_v,2022-05-13T21:41:39.262Z,41
CartonID,12,5.215,15.645,SD0006GOOD_001_v,2022-05-13T21:41:39.534Z,41
CartonID,13,11.9945,16.1665,SD0005GOOD_001_v,2022-05-13T21:41:39.700Z,41
CartonID,14,8.865499,18.774,SD0008GOOD_001_v,2022-05-13T21:41:39.915Z,41
CartonID,15,6.7795,18.774,SD0009GOOD_001_v,2022-05-13T21:41:40.134Z,41
CartonID,16,5.215,19.2955,SD0010GOOD_001_v,2022-05-13T21:41:40.337Z,41
CartonID,17,6.258,14.602,SD0008GOOD_001_v,2022-05-13T21:41:40.527Z,41
CartonID,18,5.215,18.774,SD0009GOOD_001_v,2022-05-13T21:41:40.693Z,41
CartonID,19,0,22.4245,SD0010GOOD_001_v,2022-05-13T21:41:40.904Z,41
CartonID,20,19.817,18.774,SD0004GOOD_001_v,2022-05-13T21:41:41.281Z,41
CartonID,21,10.43,18.774,SD0002GOOD_001_v,2022-05-13T21:41:41.581Z,41
CartonID,22,14.0805,18.2525,SD0001GOOD_001_v,2022-05-13T21:41:41.808Z,41
CartonID,23,17.2095,19.2955,SD0002GOOD_001_v,2022-05-13T21:41:42.064Z,41
CartonID,24,6.7795,19.2955,SD0002GOOD_001_v,2022-05-13T21:41:42.339Z,41
CartonID,25,11.473,18.774,SD0006GOOD_001_v,2022-05-13T21:41:42.546Z,41
CartonID,26,3.6505,18.774,SD0009GOOD_001_v,2022-05-13T21:41:42.781Z,41
CartonID,27,14.0805,18.774,SD0005GOOD_001_v,2022-05-13T21:41:42.960Z,41
CartonID,28,6.7795,19.2955,SD0010GOOD_001_v,2022-05-13T21:41:43.219Z,41
CartonID,29,7.301,18.774,SD0008GOOD_001_v,2022-05-13T21:41:43.426Z,41
CartonID,30,4.6935,18.774,SD0007GOOD_001_v,2022-05-13T21:41:43.633Z,41
CartonID,31,13.0375,18.774,SD0001GOOD_001_v,2022-05-13T21:41:43.819Z,41
