Number (ID),Start Timestamp,End Timestamp,Duration,Class,Location,Description,Tag
39100646,2022-05-22 22:53:03.0,2022-05-22 23:14:44.0,00:21:41,Error,FMS-DIV.PS2-6.TO.PS1,Air Pressure Fault,[MCP05]FMS_DIV_PS02_06_TO_PS01
39100553,2022-05-22 22:40:23.0,2022-05-22 22:49:32.0,00:09:09,Error,RE1-11,Anti-Gridlock Prevention Mode,[MCP05]RE01_11.Color.Output.5
39100549,2022-05-22 22:40:22.0,2022-05-22 22:40:37.0,00:00:15,Error,PS2-10,Anti-Gridlock Prevention Mode,[MCP06]PS02_10.Color.Output.5
39098802,2022-05-22 22:09:04.0,2022-05-22 22:09:40.0,00:00:36,Error,CH-21216.FIO1,I/O Module Fault,[MCP03]Spiral[114].Mod_OK
39098771,2022-05-22 22:08:47.0,2022-05-22 22:09:48.0,00:01:01,Error,SO1-CH1.Half_PE,Jammed,[MCP20]SO01_CH01.Half_PE.Ctrl.Out_FaultPE
39098766,2022-05-22 22:08:43.0,2022-05-22 22:09:41.0,00:00:58,Error,CH-21116.FIO1,I/O Module Fault,[MCP03]Spiral[104].Mod_OK
39098733,2022-05-22 22:08:24.0,2022-05-22 22:09:41.0,00:01:17,Error,CH-21316.FIO1,I/O Module Fault,[MCP03]Spiral[124].Mod_OK
39098681,2022-05-22 22:07:40.0,2022-05-22 22:10:19.0,00:02:39,Error,RS4-83.TPE1,Jammed,[MCP06]RS04_83_TPE1.Ctrl.Out_FaultPE
39098625,2022-05-22 22:07:19.0,2022-05-22 22:09:41.0,00:02:22,Error,CH-21016.FIO1,I/O Module Fault,[MCP03]Spiral[94].Mod_OK
39098589,2022-05-22 22:06:33.0,2022-05-22 22:07:57.0,00:01:24,Error,SO1-CH27.Half_PE,Jammed,[MCP20]SO01_CH27.Half_PE.Ctrl.Out_FaultPE
39098563,2022-05-22 22:06:05.0,2022-05-22 22:08:42.0,00:02:37,Error,CH-21116.FIO1,I/O Module Fault,[MCP03]Spiral[104].Mod_OK
39098546,2022-05-22 22:05:48.0,2022-05-22 22:07:18.0,00:01:30,Error,CH-21016.FIO1,I/O Module Fault,[MCP03]Spiral[94].Mod_OK
39098543,2022-05-22 22:05:48.0,2022-05-22 22:09:03.0,00:03:15,Error,CH-21216.FIO1,I/O Module Fault,[MCP03]Spiral[114].Mod_OK
39098541,2022-05-22 22:05:48.0,2022-05-22 22:06:04.0,00:00:16,Error,CH-21116.FIO1,I/O Module Fault,[MCP03]Spiral[104].Mod_OK
39098538,2022-05-22 22:05:47.0,2022-05-22 22:08:23.0,00:02:36,Error,CH-21316.FIO1,I/O Module Fault,[MCP03]Spiral[124].Mod_OK
39098525,2022-05-22 22:05:41.0,2022-05-22 22:05:46.0,00:00:05,Error,CH-21216.FIO1,I/O Module Fault,[MCP03]Spiral[114].Mod_OK
39098523,2022-05-22 22:05:41.0,2022-05-22 22:05:44.0,00:00:03,Error,CH-21116.FIO1,I/O Module Fault,[MCP03]Spiral[104].Mod_OK
39098522,2022-05-22 22:05:40.0,2022-05-22 22:05:45.0,00:00:05,Error,CH-21316.FIO1,I/O Module Fault,[MCP03]Spiral[124].Mod_OK
39098520,2022-05-22 22:05:40.0,2022-05-22 22:05:46.0,00:00:06,Error,CH-21016.FIO1,I/O Module Fault,[MCP03]Spiral[94].Mod_OK
39098481,2022-05-22 22:04:53.0,2022-05-22 22:05:00.0,00:00:07,Error,CH-21216.FIO1,I/O Module Fault,[MCP03]Spiral[114].Mod_OK
39098463,2022-05-22 22:04:36.0,2022-05-22 22:05:00.0,00:00:24,Error,CH-21116.FIO1,I/O Module Fault,[MCP03]Spiral[104].Mod_OK
39098428,2022-05-22 22:04:00.0,2022-05-22 22:05:00.0,00:01:00,Error,CH-21016.FIO1,I/O Module Fault,[MCP03]Spiral[94].Mod_OK
39098414,2022-05-22 22:03:42.0,2022-05-22 22:04:52.0,00:01:10,Error,CH-21216.FIO1,I/O Module Fault,[MCP03]Spiral[114].Mod_OK
39098411,2022-05-22 22:03:42.0,2022-05-22 22:04:35.0,00:00:53,Error,CH-21116.FIO1,I/O Module Fault,[MCP03]Spiral[104].Mod_OK
39098410,2022-05-22 22:03:41.0,2022-05-22 22:04:59.0,00:01:18,Error,CH-21316.FIO1,I/O Module Fault,[MCP03]Spiral[124].Mod_OK
39098408,2022-05-22 22:03:41.0,2022-05-22 22:04:00.0,00:00:19,Error,CH-21016.FIO1,I/O Module Fault,[MCP03]Spiral[94].Mod_OK
39098198,2022-05-22 21:59:44.0,2022-05-22 22:06:29.0,00:06:45,Error,PS4-5.PE1,Jammed,[MCP06]PS04_05_PE1.Ctrl.Out_FaultPE
