Number (ID),Start Timestamp,End Timestamp,Duration,Class,Location,Description,Tag
42864315,2022-06-24 04:57:50.0,,00:00:23,Error,RS4-71CH.Jam_PE,Jammed,[MCP06]RS04_71CH.Jam_PE.Ctrl.Out_FaultPE
42864281,2022-06-24 04:57:43.0,,00:00:30,Error,SO1-CH5.Half_PE,Jammed,[MCP20]SO01_CH05.Half_PE.Ctrl.Out_FaultPE
42864270,2022-06-24 04:57:37.0,2022-06-24 04:57:40.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42863937,2022-06-24 04:54:43.0,2022-06-24 04:54:44.0,00:00:01,Error,BYP1-3,Anti-Gridlock Prevention Mode,[MCP05]BYP01_03.Color.Output.5
42863727,2022-06-24 04:53:35.0,2022-06-24 04:53:46.0,00:00:11,Error,SO1-CH5.Half_PE,Jammed,[MCP20]SO01_CH05.Half_PE.Ctrl.Out_FaultPE
42863627,2022-06-24 04:53:00.0,2022-06-24 04:54:42.0,00:01:42,Error,RS2-82.TPE1,Jammed,[MCP06]RS02_82_TPE1.Ctrl.Out_FaultPE
42862915,2022-06-24 04:47:51.0,2022-06-24 04:50:13.0,00:02:22,Error,FL10-1CH.PE1,Jammed,[MCP08]FL10_01CH_PE1.Ctrl.Out_FaultPE
42861808,2022-06-24 04:36:53.0,,00:21:20,Error,FMS-DIV.PS2-6.TO.PS1,Air Pressure Fault,[MCP05]FMS_DIV_PS02_06_TO_PS01
42861075,2022-06-24 04:24:13.0,2022-06-24 04:36:39.0,00:12:26,Error,PS2 Loop,No Demand,[MCP06]FMS_PS02_Loop_Curr_PPM_Demand
42861073,2022-06-24 04:24:13.0,2022-06-24 04:36:39.0,00:12:26,Error,PS4 Loop,No Demand,[MCP06]FMS_PS04_Loop_Curr_PPM_Demand
42860941,2022-06-24 04:23:08.0,2022-06-24 04:24:13.0,00:01:05,Error,FMS-DIV.PS2-6.TO.PS1,Air Pressure Fault,[MCP05]FMS_DIV_PS02_06_TO_PS01
42860205,2022-06-24 03:58:07.0,2022-06-24 04:22:54.0,00:24:47,Error,PS2 Loop,No Demand,[MCP06]FMS_PS02_Loop_Curr_PPM_Demand
42860203,2022-06-24 03:58:07.0,2022-06-24 04:22:54.0,00:24:47,Error,PS4 Loop,No Demand,[MCP06]FMS_PS04_Loop_Curr_PPM_Demand
42859821,2022-06-24 03:04:35.0,2022-06-24 03:05:00.0,00:00:25,Error,PS2-5,Anti-Gridlock Prevention Mode,[MCP06]PS02_05.Color.Output.5
42859819,2022-06-24 03:04:35.0,2022-06-24 03:05:00.0,00:00:25,Error,PS2-10,Anti-Gridlock Prevention Mode,[MCP06]PS02_10.Color.Output.5
42858342,2022-06-24 02:31:29.0,2022-06-24 03:04:36.0,00:33:07,Error,FMS-DIV.PS2-6.TO.PS1,Air Pressure Fault,[MCP05]FMS_DIV_PS02_06_TO_PS01
42857759,2022-06-24 01:12:21.0,2022-06-24 01:12:36.0,00:00:15,Error,PS2-10,Anti-Gridlock Prevention Mode,[MCP06]PS02_10.Color.Output.5
42857666,2022-06-24 01:10:57.0,2022-06-24 01:12:04.0,00:01:07,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42856885,2022-06-24 01:01:25.0,2022-06-24 01:01:26.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42856883,2022-06-24 01:01:25.0,2022-06-24 01:10:57.0,00:09:32,Error,RE3-10,Anti-Gridlock Prevention Mode,[MCP05]RE03_10.Color.Output.5
42856881,2022-06-24 01:01:25.0,,03:56:48,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
42856879,2022-06-24 01:01:25.0,2022-06-24 01:12:33.0,00:11:08,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42856869,2022-06-24 01:01:21.0,2022-06-24 04:39:40.0,03:38:19,Error,PS1 Loop,No Demand,[MCP05]FMS_PS01_Loop_Curr_PPM_Demand
42856767,2022-06-24 01:00:30.0,2022-06-24 01:00:40.0,00:00:10,Error,RE1-11,Anti-Gridlock Prevention Mode,[MCP05]RE01_11.Color.Output.5
42856765,2022-06-24 01:00:30.0,2022-06-24 01:01:10.0,00:00:40,Error,PS1 Loop,No Demand,[MCP05]FMS_PS01_Loop_Curr_PPM_Demand
42856146,2022-06-24 00:53:09.0,2022-06-24 00:53:10.0,00:00:01,Error,BYP1-3,Anti-Gridlock Prevention Mode,[MCP05]BYP01_03.Color.Output.5
42856092,2022-06-24 00:52:37.0,2022-06-24 04:37:05.0,03:44:28,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42856082,2022-06-24 00:52:27.0,2022-06-24 00:52:31.0,00:00:04,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42856042,2022-06-24 00:52:08.0,2022-06-24 00:52:12.0,00:00:04,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855997,2022-06-24 00:51:45.0,2022-06-24 00:51:58.0,00:00:13,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855983,2022-06-24 00:51:36.0,2022-06-24 00:51:39.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855958,2022-06-24 00:51:21.0,2022-06-24 00:51:29.0,00:00:08,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855916,2022-06-24 00:50:48.0,2022-06-24 00:51:11.0,00:00:23,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855843,2022-06-24 00:50:16.0,2022-06-24 00:50:18.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855841,2022-06-24 00:50:07.0,2022-06-24 00:50:09.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855814,2022-06-24 00:49:56.0,2022-06-24 00:49:59.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855766,2022-06-24 00:49:18.0,2022-06-24 00:49:46.0,00:00:28,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855700,2022-06-24 00:48:41.0,2022-06-24 00:49:12.0,00:00:31,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855667,2022-06-24 00:48:18.0,2022-06-24 00:48:30.0,00:00:12,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855569,2022-06-24 00:47:24.0,2022-06-24 00:48:12.0,00:00:48,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855496,2022-06-24 00:46:42.0,2022-06-24 00:47:18.0,00:00:36,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855466,2022-06-24 00:46:28.0,2022-06-24 00:46:36.0,00:00:08,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855439,2022-06-24 00:46:09.0,2022-06-24 00:46:22.0,00:00:13,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855345,2022-06-24 00:45:07.0,2022-06-24 00:46:03.0,00:00:56,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42855195,2022-06-24 00:43:16.0,2022-06-24 00:45:01.0,00:01:45,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854943,2022-06-24 00:40:38.0,2022-06-24 00:43:10.0,00:02:32,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854941,2022-06-24 00:40:36.0,2022-06-24 00:40:39.0,00:00:03,Error,PRS1-9CH.PE1,Jammed,[MCP02]PRS01_09CH_PE1.Ctrl.Out_FaultPE
42854880,2022-06-24 00:40:04.0,2022-06-24 01:01:25.0,00:21:21,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42854859,2022-06-24 00:40:02.0,2022-06-24 00:40:04.0,00:00:02,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42854857,2022-06-24 00:40:01.0,2022-06-24 00:40:02.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42854855,2022-06-24 00:40:01.0,2022-06-24 00:40:03.0,00:00:02,Error,RE3-10,Anti-Gridlock Prevention Mode,[MCP05]RE03_10.Color.Output.5
42854853,2022-06-24 00:40:01.0,2022-06-24 00:40:03.0,00:00:02,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
42854830,2022-06-24 00:39:47.0,2022-06-24 00:40:32.0,00:00:45,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854810,2022-06-24 00:39:33.0,2022-06-24 00:39:41.0,00:00:08,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854739,2022-06-24 00:39:03.0,2022-06-24 00:39:27.0,00:00:24,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854712,2022-06-24 00:38:46.0,2022-06-24 00:38:57.0,00:00:11,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854631,2022-06-24 00:38:19.0,2022-06-24 01:11:00.0,00:32:41,Error,CH-21108-CH.Jam_PE,Jammed,[MCP04]Spiral[128].Ch_Jam_PE.Ctrl.Out_FaultPE
42854522,2022-06-24 00:37:45.0,2022-06-24 00:38:40.0,00:00:55,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854412,2022-06-24 00:37:12.0,2022-06-24 00:37:39.0,00:00:27,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854278,2022-06-24 00:36:20.0,2022-06-24 00:37:06.0,00:00:46,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854203,2022-06-24 00:36:01.0,2022-06-24 00:36:14.0,00:00:13,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42854172,2022-06-24 00:35:55.0,2022-06-24 00:40:02.0,00:04:07,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42853915,2022-06-24 00:33:57.0,2022-06-24 00:35:55.0,00:01:58,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42853908,2022-06-24 00:33:57.0,2022-06-24 00:33:58.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42853906,2022-06-24 00:33:57.0,2022-06-24 00:34:01.0,00:00:04,Error,RE3-10,Anti-Gridlock Prevention Mode,[MCP05]RE03_10.Color.Output.5
42853904,2022-06-24 00:33:57.0,2022-06-24 00:35:53.0,00:01:56,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
42853843,2022-06-24 00:33:24.0,2022-06-24 00:33:57.0,00:00:33,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42853810,2022-06-24 00:33:11.0,2022-06-24 00:35:55.0,00:02:44,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42853735,2022-06-24 00:32:38.0,2022-06-24 00:32:44.0,00:00:06,Error,SO1-CH5.Half_PE,Jammed,[MCP20]SO01_CH05.Half_PE.Ctrl.Out_FaultPE
42853730,2022-06-24 00:32:34.0,2022-06-24 00:33:05.0,00:00:31,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42853679,2022-06-24 00:32:15.0,2022-06-24 00:32:28.0,00:00:13,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42853627,2022-06-24 00:31:39.0,2022-06-24 00:31:40.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42853622,2022-06-24 00:31:39.0,2022-06-24 00:33:24.0,00:01:45,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
